sexo,idade,escolaridade,avaliacao_governo,candidatos,faixa_etaria,renda_media_familiar,salarios_minimos
Masculino,57,Ensino médio completo,Regular positiva,Candidato 2,55-64,2613.0,+ de 2SM até 3 SM
Masculino,32,Ensino médio completo,Boa,Ninguém/Branco/Nulo,25-34,2613.0,+ de 2SM até 3 SM
Masculino,70,Ensino médio completo,Boa,Candidato 2,65+,7838.0,+ de 5SM até 10 SM
Masculino,50,Ensino fundamental incompleto,Ótima,Candidato 2,45-54,2613.0,+ de 2SM até 3 SM
Masculino,24,Ensino superior incompleto,Boa,Candidato 2,17-24,4180.5,+ de 3SM até 5 SM
Masculino,58,Ensino fundamental incompleto,Regular positiva,Ninguém/Branco/Nulo,55-64,1568.0,+ de 1SM até 2 SM
Masculino,32,Ensino médio completo,Péssima,Ninguém/Branco/Nulo,25-34,1045.0,até 1 SM
Masculino,17,Ensino médio completo,Boa,Candidato 2,17-24,1568.0,+ de 1SM até 2 SM
Masculino,45,Ensino superior completo,Boa,Candidato 2,45-54,4180.5,+ de 3SM até 5 SM
Masculino,24,Ensino superior incompleto,Ótima,Candidato 2,17-24,4180.5,+ de 3SM até 5 SM
Masculino,30,Ensino médio completo,Boa,Candidato 2,25-34,18288.0,+ de 15SM até 20 SM
Masculino,24,Ensino superior incompleto,Regular positiva,Candidato 2,17-24,7838.0,+ de 5SM até 10 SM
Masculino,35,Ensino médio completo,Boa,Ninguém/Branco/Nulo,35-44,2613.0,+ de 2SM até 3 SM
Masculino,21,Ensino médio completo,Boa,Candidato 1,17-24,7838.0,+ de 5SM até 10 SM
Masculino,71,Ensino fundamental incompleto,Boa,Candidato 2,65+,1568.0,+ de 1SM até 2 SM
Masculino,42,Ensino médio completo,Boa,Candidato 2,35-44,2613.0,+ de 2SM até 3 SM
Masculino,46,Ensino superior completo,Boa,NS/NR,45-54,4180.5,+ de 3SM até 5 SM
Masculino,20,Ensino médio completo,Boa,Candidato 3,17-24,2613.0,+ de 2SM até 3 SM
Masculino,71,Ensino médio completo,Ruim,NS/NR,65+,4180.5,+ de 3SM até 5 SM
Masculino,22,Ensino médio completo,Regular negativa,NS/NR,17-24,2613.0,+ de 2SM até 3 SM
Masculino,58,Sem instrução e menos de 1 ano de estudo,Regular positiva,NS/NR,55-64,1568.0,+ de 1SM até 2 SM
Masculino,65,Ensino fundamental incompleto,Ruim,NS/NR,65+,1568.0,+ de 1SM até 2 SM
Masculino,30,Ensino superior incompleto,Péssima,NS/NR,25-34,7838.0,+ de 5SM até 10 SM
